Time,inflation,recession,unemployment,interest rates,ECB,ECB interest rate,monetary policy ECB,Germany GDP,market crash,banking crisis,DAX,stock market,stock prices,Search_Index_v3
2010-01-01,20.0,42.0,22.0,6.0,28.0,0.0,0.0,4.0,0.0,0.0,4.0,6.0,2.0,10.307692307692308
2010-02-01,19.0,35.0,22.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,9.384615384615385
2010-03-01,20.0,34.0,29.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,10.307692307692308
2010-04-01,20.0,29.0,25.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,9.692307692307692
2010-05-01,44.0,38.0,27.0,6.0,34.0,0.0,78.0,6.0,8.0,0.0,6.0,8.0,5.0,20.0
2010-06-01,17.0,30.0,24.0,6.0,32.0,0.0,0.0,4.0,0.0,0.0,4.0,7.0,5.0,9.923076923076923
2010-07-01,11.0,35.0,28.0,6.0,26.0,0.0,0.0,4.0,0.0,0.0,4.0,6.0,5.0,9.615384615384615
2010-08-01,11.0,25.0,21.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,7.6923076923076925
2010-09-01,14.0,29.0,21.0,6.0,26.0,0.0,0.0,5.0,0.0,0.0,4.0,6.0,3.0,8.76923076923077
2010-10-01,14.0,27.0,23.0,7.0,27.0,0.0,0.0,4.0,0.0,0.0,4.0,6.0,3.0,8.846153846153847
2010-11-01,18.0,27.0,24.0,7.0,30.0,0.0,0.0,0.0,7.0,0.0,5.0,7.0,5.0,10.0
2010-12-01,15.0,15.0,23.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,8.076923076923077
2011-01-01,24.0,17.0,15.0,5.0,27.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,2.0,8.076923076923077
2011-02-01,24.0,17.0,15.0,4.0,29.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,8.076923076923077
2011-03-01,21.0,21.0,13.0,4.0,30.0,0.0,0.0,4.0,0.0,0.0,7.0,4.0,0.0,8.0
2011-04-01,22.0,15.0,12.0,4.0,26.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,4.0,7.384615384615385
2011-05-01,24.0,20.0,12.0,4.0,29.0,0.0,0.0,4.0,0.0,0.0,5.0,3.0,2.0,7.923076923076923
2011-06-01,19.0,17.0,13.0,5.0,29.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,7.615384615384615
2011-07-01,20.0,19.0,11.0,5.0,27.0,0.0,0.0,6.0,8.0,56.0,5.0,4.0,3.0,12.615384615384615
2011-08-01,21.0,40.0,12.0,4.0,29.0,0.0,0.0,2.0,7.0,0.0,17.0,8.0,4.0,11.076923076923077
2011-09-01,21.0,33.0,11.0,4.0,31.0,0.0,0.0,5.0,5.0,0.0,11.0,4.0,2.0,9.76923076923077
2011-10-01,23.0,27.0,12.0,3.0,29.0,0.0,0.0,4.0,0.0,55.0,7.0,5.0,0.0,12.692307692307692
2011-11-01,28.0,26.0,14.0,4.0,33.0,0.0,0.0,4.0,8.0,0.0,8.0,4.0,2.0,10.076923076923077
2011-12-01,25.0,25.0,13.0,4.0,29.0,0.0,0.0,4.0,6.0,0.0,7.0,4.0,2.0,9.153846153846153
2012-01-01,22.0,21.0,13.0,4.0,34.0,0.0,0.0,4.0,7.0,0.0,7.0,4.0,2.0,9.076923076923077
2012-02-01,20.0,19.0,14.0,4.0,32.0,0.0,0.0,2.0,0.0,0.0,7.0,4.0,2.0,8.0
2012-03-01,22.0,21.0,13.0,4.0,30.0,0.0,0.0,4.0,5.0,0.0,7.0,4.0,2.0,8.615384615384615
2012-04-01,17.0,17.0,11.0,3.0,29.0,0.0,0.0,5.0,0.0,0.0,6.0,5.0,2.0,7.3076923076923075
2012-05-01,22.0,25.0,16.0,4.0,31.0,0.0,0.0,6.0,0.0,0.0,6.0,4.0,0.0,8.76923076923077
2012-06-01,19.0,13.0,14.0,5.0,31.0,0.0,0.0,5.0,0.0,0.0,6.0,4.0,3.0,7.6923076923076925
2012-07-01,17.0,17.0,11.0,5.0,36.0,0.0,0.0,3.0,8.0,0.0,6.0,4.0,2.0,8.384615384615385
2012-08-01,15.0,22.0,12.0,4.0,33.0,0.0,0.0,4.0,0.0,0.0,6.0,3.0,2.0,7.769230769230769
2012-09-01,24.0,21.0,14.0,4.0,37.0,0.0,0.0,5.0,0.0,0.0,6.0,4.0,3.0,9.076923076923077
2012-10-01,20.0,17.0,15.0,4.0,27.0,0.0,0.0,4.0,0.0,41.0,6.0,4.0,2.0,10.76923076923077
2012-11-01,20.0,22.0,14.0,3.0,29.0,0.0,0.0,3.0,5.0,36.0,6.0,4.0,1.0,11.0
2012-12-01,16.0,17.0,10.0,3.0,25.0,0.0,0.0,4.0,0.0,0.0,6.0,3.0,1.0,6.538461538461538
2013-01-01,20.0,18.0,14.0,4.0,29.0,0.0,0.0,4.0,4.0,0.0,6.0,4.0,2.0,8.076923076923077
